Year,State Name,Dist Name,BARLEY HARVEST PRICE (Rs per Quintal),FINGER MILLET HARVEST PRICE (Rs per Quintal),MAIZE HARVEST PRICE (Rs per Quintal),SORGHUM HARVEST PRICE (Rs per Quintal),PADDY HARVEST PRICE (Rs per Quintal),WHEAT HARVEST PRICE (Rs per Quintal)
2012,Telangana,Khammam,-1.0,-1.0,1205.0,2717.0,2170.0,-1.0
2015,Telangana,Khammam,-1.0,-1.0,1405.0,-1.0,1489.0,-1.0
1966,Telangana,Karimnagar,-1.0,-1.0,57.5,58.5,47.4,-1.0
1967,Telangana,Karimnagar,-1.0,-1.0,62.2,61.3,51.8,-1.0
1968,Telangana,Karimnagar,-1.0,-1.0,57.9,63.1,58.9,-1.0
1969,Telangana,Karimnagar,-1.0,-1.0,52.3,56.1,56.2,-1.0
1970,Telangana,Karimnagar,-1.0,-1.0,47.8,47.6,48.4,-1.0
1971,Telangana,Karimnagar,-1.0,-1.0,62.9,78.7,70.1,-1.0
1972,Telangana,Karimnagar,-1.0,-1.0,81.9,90.5,90.8,-1.0
1973,Telangana,Karimnagar,-1.0,-1.0,100.0,103.6,81.2,-1.0
1974,Telangana,Karimnagar,-1.0,-1.0,96.8,143.6,110.0,-1.0
1975,Telangana,Karimnagar,-1.0,-1.0,71.2,93.1,85.3,-1.0
1976,Telangana,Karimnagar,-1.0,-1.0,92.4,103.9,90.0,-1.0
1977,Telangana,Karimnagar,-1.0,-1.0,91.4,90.0,89.3,-1.0
1978,Telangana,Karimnagar,-1.0,-1.0,77.6,77.1,79.5,-1.0
1979,Telangana,Karimnagar,-1.0,-1.0,100.0,97.3,96.9,-1.0
1980,Telangana,Karimnagar,-1.0,-1.0,104.5,107.0,108.9,-1.0
1981,Telangana,Karimnagar,-1.0,-1.0,109.0,106.0,111.5,-1.0
1982,Telangana,Karimnagar,-1.0,-1.0,131.1,114.0,127.3,-1.0
1983,Telangana,Karimnagar,-1.0,-1.0,132.9,138.5,145.7,-1.0
1984,Telangana,Karimnagar,-1.0,-1.0,120.3,125.5,136.5,-1.0
1985,Telangana,Karimnagar,-1.0,-1.0,161.9,126.0,152.3,-1.0
1986,Telangana,Karimnagar,-1.0,-1.0,181.5,131.5,152.8,-1.0
1987,Telangana,Karimnagar,-1.0,-1.0,185.2,152.9,179.6,-1.0
1988,Telangana,Karimnagar,-1.0,-1.0,206.1,173.4,194.3,-1.0
1989,Telangana,Karimnagar,-1.0,-1.0,196.8,179.3,187.3,-1.0
1990,Telangana,Karimnagar,-1.0,-1.0,212.0,188.0,213.0,-1.0
1991,Telangana,Karimnagar,-1.0,-1.0,287.0,345.0,259.0,-1.0
1992,Telangana,Karimnagar,-1.0,-1.0,242.0,-1.0,294.0,-1.0
1993,Telangana,Karimnagar,-1.0,-1.0,341.0,-1.0,333.0,-1.0
1994,Telangana,Karimnagar,-1.0,-1.0,371.0,-1.0,369.0,-1.0
1995,Telangana,Karimnagar,-1.0,-1.0,361.0,-1.0,400.0,-1.0
1996,Telangana,Karimnagar,-1.0,379.0,388.0,499.0,407.0,-1.0
1997,Telangana,Karimnagar,-1.0,415.0,391.0,470.0,461.0,-1.0
1998,Telangana,Karimnagar,-1.0,-1.0,437.0,513.0,448.0,-1.0
1999,Telangana,Karimnagar,-1.0,-1.0,452.0,570.0,534.0,-1.0
2000,Telangana,Karimnagar,-1.0,-1.0,366.0,479.0,490.0,-1.0
2001,Telangana,Karimnagar,-1.0,-1.0,470.0,559.0,527.0,-1.0
2002,Telangana,Karimnagar,-1.0,-1.0,506.0,534.0,552.0,-1.0
2003,Telangana,Karimnagar,-1.0,-1.0,493.0,586.0,573.0,-1.0
2004,Telangana,Karimnagar,-1.0,504.0,507.0,541.0,592.0,-1.0
2005,Telangana,Karimnagar,-1.0,524.0,522.0,584.0,611.0,-1.0
2006,Telangana,Karimnagar,-1.0,555.0,614.0,775.0,622.0,-1.0
2007,Telangana,Karimnagar,-1.0,734.0,652.0,1281.0,747.0,-1.0
2008,Telangana,Karimnagar,-1.0,838.0,769.0,936.0,897.0,-1.0
2009,Telangana,Karimnagar,-1.0,1041.0,828.0,898.0,997.0,-1.0
2010,Telangana,Karimnagar,-1.0,-1.0,990.0,1165.0,982.0,-1.0
2011,Telangana,Karimnagar,-1.0,-1.0,1041.0,1930.0,1080.0,-1.0
2012,Telangana,Karimnagar,-1.0,-1.0,1230.0,2717.0,1263.0,-1.0
2015,Telangana,Karimnagar,-1.0,-1.0,1366.0,-1.0,1404.0,-1.0
1966,Telangana,Adilabad,-1.0,-1.0,53.9,54.5,43.5,-1.0
1967,Telangana,Adilabad,-1.0,-1.0,63.5,60.0,52.8,-1.0
1968,Telangana,Adilabad,-1.0,-1.0,50.6,62.1,58.7,-1.0
1969,Telangana,Adilabad,-1.0,-1.0,51.8,53.3,49.2,-1.0
1970,Telangana,Adilabad,-1.0,-1.0,63.4,76.4,54.5,93.1
1971,Telangana,Adilabad,-1.0,-1.0,63.4,74.4,66.1,100.6
1972,Telangana,Adilabad,-1.0,-1.0,76.2,87.8,92.2,113.4
1973,Telangana,Adilabad,-1.0,-1.0,108.1,120.1,83.5,120.7
1974,Telangana,Adilabad,-1.0,-1.0,121.0,150.0,109.0,143.6
1975,Telangana,Adilabad,-1.0,-1.0,77.8,110.6,87.9,-1.0
1976,Telangana,Adilabad,-1.0,-1.0,86.7,108.4,90.1,-1.0
1977,Telangana,Adilabad,-1.0,-1.0,90.0,104.0,-1.0,-1.0
1978,Telangana,Adilabad,-1.0,-1.0,88.0,100.0,-1.0,-1.0
1979,Telangana,Adilabad,-1.0,-1.0,93.0,105.0,-1.0,-1.0
1980,Telangana,Adilabad,-1.0,-1.0,98.0,140.5,-1.0,-1.0
1981,Telangana,Adilabad,-1.0,-1.0,126.0,147.5,-1.0,-1.0
1982,Telangana,Adilabad,-1.0,-1.0,123.5,-1.0,-1.0,-1.0
1983,Telangana,Adilabad,-1.0,-1.0,142.0,157.1,145.7,-1.0
1984,Telangana,Adilabad,-1.0,-1.0,144.0,137.5,-1.0,-1.0
1985,Telangana,Adilabad,-1.0,-1.0,120.0,167.0,-1.0,-1.0
1986,Telangana,Adilabad,-1.0,-1.0,125.0,180.0,167.0,-1.0
1987,Telangana,Adilabad,-1.0,-1.0,250.0,225.0,-1.0,-1.0
1988,Telangana,Adilabad,-1.0,-1.0,248.0,236.0,-1.0,-1.0
1989,Telangana,Adilabad,-1.0,-1.0,239.0,234.5,-1.0,-1.0
1990,Telangana,Adilabad,-1.0,-1.0,255.0,258.0,-1.0,-1.0
1991,Telangana,Adilabad,-1.0,-1.0,320.0,344.0,214.0,-1.0
1992,Telangana,Adilabad,-1.0,-1.0,258.0,240.0,296.0,-1.0
1993,Telangana,Adilabad,-1.0,-1.0,229.0,240.0,344.0,-1.0
1994,Telangana,Adilabad,-1.0,-1.0,354.0,424.0,378.0,-1.0
1995,Telangana,Adilabad,-1.0,-1.0,341.0,-1.0,392.0,-1.0
1996,Telangana,Adilabad,-1.0,379.0,464.0,466.0,505.0,-1.0
1997,Telangana,Adilabad,-1.0,-1.0,438.0,474.0,490.0,-1.0
1998,Telangana,Adilabad,-1.0,-1.0,427.0,499.0,443.0,-1.0
1999,Telangana,Adilabad,-1.0,-1.0,449.0,570.0,555.0,-1.0
2000,Telangana,Adilabad,-1.0,-1.0,417.0,479.0,499.0,-1.0
2001,Telangana,Adilabad,-1.0,-1.0,477.0,477.0,518.0,-1.0
2002,Telangana,Adilabad,-1.0,415.0,489.0,571.0,550.0,-1.0
2003,Telangana,Adilabad,-1.0,-1.0,470.0,574.0,568.0,-1.0
2004,Telangana,Adilabad,-1.0,504.0,470.0,501.0,632.0,-1.0
2005,Telangana,Adilabad,-1.0,524.0,505.0,557.0,576.0,-1.0
2006,Telangana,Adilabad,-1.0,555.0,533.0,570.0,630.0,-1.0
2007,Telangana,Adilabad,-1.0,734.0,690.0,733.0,820.0,-1.0
2008,Telangana,Adilabad,-1.0,838.0,816.0,727.0,942.0,-1.0
2009,Telangana,Adilabad,-1.0,1041.0,802.0,992.0,952.0,-1.0
2010,Telangana,Adilabad,-1.0,-1.0,878.0,822.0,987.0,-1.0
2011,Telangana,Adilabad,-1.0,-1.0,956.0,1275.0,1038.0,-1.0
2012,Telangana,Adilabad,-1.0,-1.0,1166.0,1330.0,1176.0,-1.0
2015,Telangana,Adilabad,-1.0,-1.0,1339.0,1819.0,1347.0,-1.0
1966,Karnataka,Bangalore,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1967,Karnataka,Bangalore,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1968,Karnataka,Bangalore,-1.0,80.2,-1.0,66.5,70.4,-1.0
1969,Karnataka,Bangalore,-1.0,70.5,-1.0,-1.0,58.6,-1.0
1970,Karnataka,Bangalore,-1.0,67.6,-1.0,-1.0,62.5,-1.0
1971,Karnataka,Bangalore,-1.0,67.1,-1.0,-1.0,66.5,-1.0
1972,Karnataka,Bangalore,-1.0,92.3,-1.0,-1.0,83.6,-1.0
1973,Karnataka,Bangalore,-1.0,130.5,-1.0,-1.0,132.7,-1.0
1974,Karnataka,Bangalore,-1.0,168.1,-1.0,-1.0,150.2,-1.0
1975,Karnataka,Bangalore,-1.0,83.8,77.0,-1.0,101.4,-1.0
1976,Karnataka,Bangalore,-1.0,131.6,110.9,-1.0,122.7,-1.0
1977,Karnataka,Bangalore,-1.0,100.1,104.3,-1.0,100.8,-1.0
1978,Karnataka,Bangalore,-1.0,92.0,90.3,-1.0,97.4,-1.0
1979,Karnataka,Bangalore,-1.0,99.5,102.4,-1.0,103.1,-1.0
1980,Karnataka,Bangalore,-1.0,167.4,136.8,-1.0,132.7,-1.0
1981,Karnataka,Bangalore,-1.0,154.1,137.2,-1.0,150.7,-1.0
1982,Karnataka,Bangalore,-1.0,165.4,157.4,-1.0,157.3,-1.0
1983,Karnataka,Bangalore,-1.0,166.5,157.1,-1.0,178.9,-1.0
1984,Karnataka,Bangalore,-1.0,155.9,-1.0,-1.0,161.6,-1.0
1985,Karnataka,Bangalore,-1.0,165.6,-1.0,-1.0,191.3,-1.0
1986,Karnataka,Bangalore,-1.0,164.1,-1.0,-1.0,177.5,-1.0
1987,Karnataka,Bangalore,-1.0,175.3,-1.0,-1.0,192.8,-1.0
1988,Karnataka,Bangalore,-1.0,226.0,197.0,-1.0,241.0,-1.0
1989,Karnataka,Bangalore,-1.0,199.0,212.0,-1.0,220.0,-1.0
1966,Karnataka,Kolar,-1.0,97.1,-1.0,-1.0,88.3,138.3
1967,Karnataka,Kolar,-1.0,83.1,-1.0,-1.0,74.6,131.4
1968,Karnataka,Kolar,-1.0,86.4,-1.0,-1.0,73.8,122.3
1969,Karnataka,Kolar,-1.0,72.9,-1.0,-1.0,62.5,101.0
1970,Karnataka,Kolar,-1.0,69.4,-1.0,-1.0,65.9,108.0
1971,Karnataka,Kolar,-1.0,71.1,-1.0,-1.0,74.5,105.1
1972,Karnataka,Kolar,-1.0,99.0,86.3,-1.0,102.5,139.5
1973,Karnataka,Kolar,-1.0,132.8,120.2,-1.0,116.3,223.6
1974,Karnataka,Kolar,-1.0,164.9,158.0,-1.0,142.4,187.1
1975,Karnataka,Kolar,-1.0,72.3,-1.0,-1.0,89.1,-1.0
1976,Karnataka,Kolar,-1.0,132.4,107.5,-1.0,121.9,-1.0
1977,Karnataka,Kolar,-1.0,102.8,100.0,-1.0,107.3,-1.0
1978,Karnataka,Kolar,-1.0,86.3,80.2,-1.0,93.8,-1.0
1979,Karnataka,Kolar,-1.0,97.1,91.2,-1.0,108.9,-1.0
1980,Karnataka,Kolar,-1.0,170.4,133.9,-1.0,136.4,-1.0
1981,Karnataka,Kolar,-1.0,158.7,147.8,-1.0,152.8,-1.0
1982,Karnataka,Kolar,-1.0,160.0,147.3,-1.0,153.9,-1.0
1983,Karnataka,Kolar,-1.0,184.0,160.8,-1.0,194.6,-1.0
1984,Karnataka,Kolar,-1.0,164.0,152.9,-1.0,-1.0,-1.0
1985,Karnataka,Kolar,-1.0,173.7,-1.0,-1.0,186.0,-1.0
1986,Karnataka,Kolar,-1.0,180.0,-1.0,-1.0,-1.0,-1.0
1987,Karnataka,Kolar,-1.0,-1.0,225.0,-1.0,-1.0,-1.0
1988,Karnataka,Kolar,-1.0,-1.0,202.0,-1.0,-1.0,-1.0
1989,Karnataka,Kolar,-1.0,-1.0,232.0,-1.0,-1.0,-1.0
1990,Karnataka,Kolar,-1.0,-1.0,233.0,-1.0,-1.0,-1.0
1991,Karnataka,Kolar,-1.0,220.0,310.0,-1.0,-1.0,-1.0
1992,Karnataka,Kolar,-1.0,225.0,-1.0,-1.0,-1.0,-1.0
1993,Karnataka,Kolar,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1994,Karnataka,Kolar,-1.0,235.0,-1.0,-1.0,352.0,-1.0
1995,Karnataka,Kolar,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1996,Karnataka,Kolar,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1997,Karnataka,Kolar,-1.0,349.0,372.0,399.0,466.0,706.0
1998,Karnataka,Kolar,-1.0,-1.0,-1.0,-1.0,354.0,-1.0
1999,Karnataka,Kolar,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2000,Karnataka,Kolar,-1.0,464.0,386.0,-1.0,473.0,-1.0
2001,Karnataka,Kolar,-1.0,-1.0,-1.0,-1.0,513.0,-1.0
2002,Karnataka,Kolar,-1.0,414.0,-1.0,-1.0,365.0,-1.0
2003,Karnataka,Kolar,-1.0,417.0,-1.0,-1.0,395.0,-1.0
2004,Karnataka,Kolar,-1.0,375.0,382.0,-1.0,490.0,-1.0
2005,Karnataka,Kolar,-1.0,395.0,367.0,-1.0,523.0,-1.0
2006,Karnataka,Kolar,-1.0,-1.0,675.0,-1.0,567.0,-1.0
2007,Karnataka,Kolar,-1.0,831.0,-1.0,-1.0,1143.0,-1.0
2008,Karnataka,Kolar,-1.0,1000.0,776.0,-1.0,950.0,-1.0
2009,Karnataka,Kolar,-1.0,986.0,1005.0,-1.0,-1.0,-1.0
2010,Karnataka,Kolar,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2011,Karnataka,Kolar,-1.0,1064.0,-1.0,-1.0,-1.0,-1.0
2012,Karnataka,Kolar,-1.0,1690.0,-1.0,-1.0,-1.0,-1.0
2013,Karnataka,Kolar,-1.0,1570.0,-1.0,-1.0,1638.0,-1.0
2014,Karnataka,Kolar,-1.0,1701.0,-1.0,-1.0,1698.0,-1.0
2015,Karnataka,Kolar,-1.0,1731.0,-1.0,-1.0,1779.0,-1.0
2016,Karnataka,Kolar,-1.0,2006.0,-1.0,-1.0,-1.0,-1.0
1966,Karnataka,Tumkur,-1.0,76.8,-1.0,-1.0,75.6,-1.0
1967,Karnataka,Tumkur,-1.0,89.3,-1.0,-1.0,74.6,-1.0
1968,Karnataka,Tumkur,-1.0,75.1,-1.0,-1.0,73.8,-1.0
1969,Karnataka,Tumkur,-1.0,-1.0,-1.0,-1.0,57.0,-1.0
1970,Karnataka,Tumkur,-1.0,68.3,-1.0,54.3,65.6,-1.0
1971,Karnataka,Tumkur,-1.0,69.0,-1.0,68.0,70.0,-1.0
1972,Karnataka,Tumkur,-1.0,90.0,-1.0,82.0,78.0,-1.0
1973,Karnataka,Tumkur,-1.0,127.2,-1.0,108.8,126.9,-1.0
1974,Karnataka,Tumkur,-1.0,154.7,-1.0,145.9,151.2,-1.0
1975,Karnataka,Tumkur,-1.0,87.2,75.6,83.3,102.0,-1.0
1976,Karnataka,Tumkur,-1.0,129.5,113.7,103.2,119.4,-1.0
1977,Karnataka,Tumkur,-1.0,99.0,92.0,92.0,100.0,-1.0
1978,Karnataka,Tumkur,-1.0,91.0,89.8,83.8,94.4,-1.0
1979,Karnataka,Tumkur,-1.0,93.0,97.3,88.0,102.7,-1.0
1980,Karnataka,Tumkur,-1.0,148.1,121.7,120.4,127.5,-1.0
1981,Karnataka,Tumkur,-1.0,160.6,141.8,146.0,155.3,-1.0
1982,Karnataka,Tumkur,-1.0,157.3,144.5,135.8,157.5,-1.0
1983,Karnataka,Tumkur,-1.0,176.2,158.7,158.4,204.3,-1.0
1984,Karnataka,Tumkur,-1.0,164.8,-1.0,129.4,168.1,-1.0
1985,Karnataka,Tumkur,-1.0,-1.0,-1.0,159.8,187.8,-1.0
1986,Karnataka,Tumkur,-1.0,167.2,-1.0,-1.0,187.1,-1.0
1987,Karnataka,Tumkur,-1.0,-1.0,-1.0,-1.0,204.0,-1.0
1988,Karnataka,Tumkur,-1.0,208.0,-1.0,-1.0,225.0,-1.0
1989,Karnataka,Tumkur,-1.0,205.0,-1.0,-1.0,222.0,-1.0
1990,Karnataka,Tumkur,-1.0,191.0,-1.0,-1.0,246.0,-1.0
1991,Karnataka,Tumkur,-1.0,215.0,-1.0,-1.0,305.0,-1.0
1992,Karnataka,Tumkur,-1.0,-1.0,-1.0,-1.0,376.0,-1.0
1993,Karnataka,Tumkur,-1.0,250.0,-1.0,-1.0,354.0,-1.0
1994,Karnataka,Tumkur,-1.0,295.0,-1.0,-1.0,424.0,-1.0
1995,Karnataka,Tumkur,-1.0,371.0,-1.0,-1.0,454.0,-1.0
1996,Karnataka,Tumkur,-1.0,358.0,372.0,344.0,490.0,-1.0
1997,Karnataka,Tumkur,-1.0,358.0,372.0,398.0,474.0,706.0
1998,Karnataka,Tumkur,-1.0,376.0,-1.0,438.0,495.0,-1.0
1999,Karnataka,Tumkur,-1.0,501.0,-1.0,500.0,554.0,-1.0
2000,Karnataka,Tumkur,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2001,Karnataka,Tumkur,-1.0,372.0,464.0,-1.0,570.0,-1.0
2002,Karnataka,Tumkur,-1.0,480.0,473.0,-1.0,573.0,-1.0
2003,Karnataka,Tumkur,-1.0,513.0,481.0,-1.0,600.0,-1.0
2004,Karnataka,Tumkur,-1.0,476.0,530.0,500.0,588.0,-1.0
2005,Karnataka,Tumkur,-1.0,487.0,528.0,469.0,602.0,-1.0
2006,Karnataka,Tumkur,-1.0,652.0,678.0,-1.0,568.0,-1.0
2007,Karnataka,Tumkur,-1.0,686.0,-1.0,-1.0,808.0,-1.0
2008,Karnataka,Tumkur,-1.0,876.0,792.0,972.0,1054.0,-1.0
2009,Karnataka,Tumkur,-1.0,891.0,861.0,-1.0,-1.0,-1.0
2010,Karnataka,Tumkur,-1.0,-1.0,905.0,-1.0,-1.0,-1.0
2011,Karnataka,Tumkur,-1.0,1005.0,1119.0,-1.0,-1.0,-1.0
2012,Karnataka,Tumkur,-1.0,1741.0,1362.0,-1.0,-1.0,-1.0
2013,Karnataka,Tumkur,-1.0,1615.0,1302.0,-1.0,-1.0,-1.0
2014,Karnataka,Tumkur,-1.0,1630.0,1281.0,-1.0,1378.0,-1.0
2015,Karnataka,Tumkur,-1.0,1610.0,1470.0,-1.0,1499.0,-1.0
2016,Karnataka,Tumkur,-1.0,2592.0,1597.5,-1.0,1833.5,-1.0
1966,Karnataka,Mysore,-1.0,71.0,-1.0,78.8,65.6,-1.0
1967,Karnataka,Mysore,-1.0,71.2,-1.0,80.0,81.8,-1.0
1968,Karnataka,Mysore,-1.0,69.6,-1.0,72.6,81.1,-1.0
1969,Karnataka,Mysore,-1.0,67.6,-1.0,61.6,67.1,-1.0
1970,Karnataka,Mysore,-1.0,68.0,-1.0,58.9,64.2,-1.0
1971,Karnataka,Mysore,-1.0,63.6,-1.0,59.3,71.2,-1.0
1972,Karnataka,Mysore,-1.0,91.4,-1.0,95.1,83.2,-1.0
1973,Karnataka,Mysore,-1.0,99.8,-1.0,107.3,107.6,-1.0
1974,Karnataka,Mysore,-1.0,119.4,-1.0,125.0,133.3,-1.0
1975,Karnataka,Mysore,-1.0,94.8,159.0,88.3,98.5,-1.0
1976,Karnataka,Mysore,-1.0,122.2,111.8,112.9,108.8,-1.0
1977,Karnataka,Mysore,-1.0,92.0,95.0,92.0,98.0,-1.0
1978,Karnataka,Mysore,-1.0,78.0,86.0,114.0,94.0,-1.0
1979,Karnataka,Mysore,-1.0,93.9,100.0,93.0,108.0,-1.0
1980,Karnataka,Mysore,-1.0,153.5,107.1,114.3,126.6,-1.0
1981,Karnataka,Mysore,-1.0,162.2,136.4,137.4,129.6,-1.0
1982,Karnataka,Mysore,-1.0,141.8,119.9,123.0,137.3,-1.0
1983,Karnataka,Mysore,-1.0,160.2,161.6,156.9,167.0,-1.0
1984,Karnataka,Mysore,-1.0,150.5,-1.0,149.3,159.7,-1.0
1985,Karnataka,Mysore,-1.0,166.3,-1.0,158.6,176.6,-1.0
1986,Karnataka,Mysore,-1.0,180.7,183.6,162.1,182.5,-1.0
1987,Karnataka,Mysore,-1.0,189.9,178.0,171.9,200.4,-1.0
1988,Karnataka,Mysore,-1.0,205.0,-1.0,197.0,220.0,-1.0
1989,Karnataka,Mysore,-1.0,207.0,-1.0,203.0,225.0,-1.0
1990,Karnataka,Mysore,-1.0,198.0,-1.0,205.0,249.0,-1.0
1991,Karnataka,Mysore,-1.0,272.0,-1.0,283.0,352.0,-1.0
1992,Karnataka,Mysore,-1.0,314.0,249.0,283.0,328.0,-1.0
1993,Karnataka,Mysore,-1.0,320.0,281.0,262.0,365.0,-1.0
1994,Karnataka,Mysore,-1.0,328.0,-1.0,333.0,451.0,-1.0
1995,Karnataka,Mysore,-1.0,421.0,-1.0,382.0,433.0,-1.0
1996,Karnataka,Mysore,-1.0,408.0,-1.0,438.0,484.0,-1.0
1997,Karnataka,Mysore,-1.0,357.0,422.0,413.0,500.0,706.0
1998,Karnataka,Mysore,-1.0,413.0,449.0,437.0,582.0,-1.0
1999,Karnataka,Mysore,-1.0,443.0,-1.0,434.0,540.0,-1.0
2000,Karnataka,Mysore,-1.0,406.0,392.0,-1.0,-1.0,-1.0
2001,Karnataka,Mysore,-1.0,406.0,405.0,425.0,583.0,-1.0
2002,Karnataka,Mysore,-1.0,464.0,512.0,452.0,599.0,-1.0
2003,Karnataka,Mysore,-1.0,554.0,522.0,445.0,610.0,-1.0
2004,Karnataka,Mysore,-1.0,519.0,490.0,467.0,521.0,-1.0
2005,Karnataka,Mysore,-1.0,518.0,497.0,510.0,562.0,-1.0
2006,Karnataka,Mysore,-1.0,660.0,690.0,668.0,691.0,-1.0
2007,Karnataka,Mysore,-1.0,809.0,730.0,687.0,378.0,-1.0
2008,Karnataka,Mysore,-1.0,854.0,690.0,-1.0,-1.0,-1.0
2009,Karnataka,Mysore,-1.0,870.0,727.0,-1.0,-1.0,-1.0
2010,Karnataka,Mysore,-1.0,-1.0,814.0,-1.0,-1.0,-1.0
2011,Karnataka,Mysore,-1.0,906.0,902.0,-1.0,-1.0,-1.0
2012,Karnataka,Mysore,-1.0,1546.0,1068.0,-1.0,-1.0,-1.0
2013,Karnataka,Mysore,-1.0,1476.0,1212.0,-1.0,1379.0,-1.0
2014,Karnataka,Mysore,-1.0,1574.0,1219.0,-1.0,-1.0,-1.0
2015,Karnataka,Mysore,-1.0,1392.0,1177.0,1389.0,1675.0,-1.0
2016,Karnataka,Mysore,-1.0,1602.0,1242.5,1389.0,-1.0,-1.0
1966,Karnataka,Mandya,-1.0,82.5,-1.0,-1.0,60.8,-1.0
1967,Karnataka,Mandya,-1.0,86.6,-1.0,-1.0,64.3,-1.0
1968,Karnataka,Mandya,-1.0,81.7,-1.0,-1.0,79.3,-1.0
1969,Karnataka,Mandya,-1.0,67.3,-1.0,-1.0,58.0,-1.0
1970,Karnataka,Mandya,-1.0,73.8,-1.0,-1.0,61.0,-1.0
1971,Karnataka,Mandya,-1.0,-1.0,-1.0,-1.0,65.7,-1.0
1972,Karnataka,Mandya,-1.0,95.0,-1.0,90.0,70.0,-1.0
1973,Karnataka,Mandya,-1.0,115.7,-1.0,103.5,115.6,-1.0
1974,Karnataka,Mandya,-1.0,157.6,-1.0,156.8,126.2,-1.0
1975,Karnataka,Mandya,-1.0,83.0,-1.0,93.0,101.3,-1.0
1976,Karnataka,Mandya,-1.0,130.6,-1.0,100.4,102.8,-1.0
1977,Karnataka,Mandya,-1.0,106.0,-1.0,86.0,92.0,-1.0
1978,Karnataka,Mandya,-1.0,94.0,-1.0,88.0,92.0,-1.0
1979,Karnataka,Mandya,-1.0,94.0,-1.0,91.0,99.0,-1.0
1980,Karnataka,Mandya,-1.0,135.5,-1.0,129.9,125.7,-1.0
1981,Karnataka,Mandya,-1.0,167.2,-1.0,170.2,140.4,-1.0
1982,Karnataka,Mandya,-1.0,167.0,-1.0,-1.0,142.0,-1.0
1983,Karnataka,Mandya,-1.0,183.0,-1.0,-1.0,187.0,-1.0
1984,Karnataka,Mandya,-1.0,156.0,-1.0,-1.0,174.3,-1.0
1985,Karnataka,Mandya,-1.0,189.9,-1.0,-1.0,221.0,-1.0
1986,Karnataka,Mandya,-1.0,171.0,-1.0,-1.0,190.0,-1.0
1987,Karnataka,Mandya,-1.0,169.3,178.0,-1.0,218.9,-1.0
1988,Karnataka,Mandya,-1.0,239.0,-1.0,-1.0,266.0,-1.0
1989,Karnataka,Mandya,-1.0,232.0,-1.0,206.0,237.0,-1.0
1990,Karnataka,Mandya,-1.0,233.0,-1.0,201.0,256.0,-1.0
1991,Karnataka,Mandya,-1.0,273.0,-1.0,-1.0,326.0,-1.0
1992,Karnataka,Mandya,-1.0,332.0,-1.0,322.0,344.0,-1.0
1993,Karnataka,Mandya,-1.0,-1.0,-1.0,-1.0,358.0,-1.0
1994,Karnataka,Mandya,-1.0,-1.0,-1.0,639.0,457.0,-1.0
1995,Karnataka,Mandya,-1.0,434.0,-1.0,665.0,507.0,-1.0
1996,Karnataka,Mandya,-1.0,390.0,-1.0,-1.0,621.0,-1.0
1997,Karnataka,Mandya,-1.0,396.0,372.0,399.0,490.0,706.0
1998,Karnataka,Mandya,-1.0,406.0,-1.0,-1.0,555.0,-1.0
1999,Karnataka,Mandya,-1.0,421.0,-1.0,-1.0,560.0,-1.0
2000,Karnataka,Mandya,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2001,Karnataka,Mandya,-1.0,433.0,-1.0,-1.0,568.0,-1.0
2002,Karnataka,Mandya,-1.0,549.0,-1.0,-1.0,616.0,-1.0
2003,Karnataka,Mandya,-1.0,468.0,-1.0,-1.0,624.0,-1.0
2004,Karnataka,Mandya,-1.0,463.0,-1.0,-1.0,529.0,-1.0
2005,Karnataka,Mandya,-1.0,460.0,-1.0,-1.0,574.0,-1.0
2006,Karnataka,Mandya,-1.0,776.0,-1.0,-1.0,603.0,-1.0
2007,Karnataka,Mandya,-1.0,728.0,646.0,-1.0,765.0,-1.0
2008,Karnataka,Mandya,-1.0,859.0,776.0,-1.0,957.0,-1.0
2009,Karnataka,Mandya,-1.0,944.0,1005.0,-1.0,-1.0,-1.0
2010,Karnataka,Mandya,-1.0,-1.0,846.0,-1.0,-1.0,-1.0
2011,Karnataka,Mandya,-1.0,1112.0,-1.0,-1.0,-1.0,-1.0
2012,Karnataka,Mandya,-1.0,2201.0,-1.0,-1.0,-1.0,-1.0
2013,Karnataka,Mandya,-1.0,1718.0,-1.0,-1.0,-1.0,-1.0
2014,Karnataka,Mandya,-1.0,1585.0,1726.0,-1.0,-1.0,-1.0
2015,Karnataka,Mandya,-1.0,1685.0,1339.0,-1.0,1716.0,-1.0
2016,Karnataka,Mandya,-1.0,2832.0,1500.0,-1.0,-1.0,-1.0
1966,Karnataka,Hassan,-1.0,-1.0,-1.0,-1.0,60.8,-1.0
1967,Karnataka,Hassan,-1.0,95.0,-1.0,-1.0,87.7,-1.0
1968,Karnataka,Hassan,-1.0,69.3,-1.0,-1.0,68.5,-1.0
1969,Karnataka,Hassan,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
